Time,Sample,Phase
376, 0.877882, 0.170975
377, 0.879243, 0.171429
378, 0.880597, 0.171882
379, 0.881943, 0.172336
380, 0.883283, 0.17279
381, 0.884615, 0.173243
382, 0.885941, 0.173697
383, 0.887259, 0.17415
384, 0.888569, 0.174604
385, 0.889873, 0.175057
386, 0.891169, 0.175511
387, 0.892458, 0.175964
388, 0.89374, 0.176418
389, 0.895015, 0.176871
390, 0.896282, 0.177325
391, 0.897542, 0.177778
392, 0.898795, 0.178232
393, 0.900041, 0.178685
394, 0.901279, 0.179139
395, 0.90251, 0.179592
396, 0.903733, 0.180046
397, 0.90495, 0.180499
398, 0.906158, 0.180953
399, 0.90736, 0.181406
400, 0.908554, 0.18186
401, 0.909741, 0.182313
402, 0.91092, 0.182767
403, 0.912092, 0.18322
404, 0.913257, 0.183674
405, 0.914414, 0.184127
406, 0.915564, 0.184581
407, 0.916706, 0.185034
408, 0.917841, 0.185488
409, 0.918968, 0.185942
410, 0.920088, 0.186395
411, 0.9212, 0.186849
412, 0.922305, 0.187302
413, 0.923403, 0.187756
414, 0.924493, 0.188209
415, 0.925575, 0.188663
416, 0.92665, 0.189116
417, 0.927718, 0.18957
418, 0.928778, 0.190023
419, 0.92983, 0.190477
420, 0.930875, 0.19093
421, 0.931912, 0.191384
422, 0.932942, 0.191837
423, 0.933964, 0.192291
424, 0.934978, 0.192744
425, 0.935985, 0.193198
426, 0.936985, 0.193651
427, 0.937977, 0.194105
428, 0.938961, 0.194558
429, 0.939937, 0.195012
430, 0.940906, 0.195465
431, 0.941867, 0.195919
432, 0.942821, 0.196372
433, 0.943767, 0.196826
434, 0.944705, 0.197279
435, 0.945636, 0.197733
436, 0.946558, 0.198186
437, 0.947474, 0.19864
438, 0.948381, 0.199094
439, 0.949281, 0.199547
440, 0.950173, 0.200001
441, 0.951058, 0.200454
442, 0.951934, 0.200908
443, 0.952803, 0.201361
444, 0.953664, 0.201815
445, 0.954518, 0.202268
446, 0.955364, 0.202722
447, 0.956202, 0.203175
448, 0.957032, 0.203629
449, 0.957854, 0.204082
450, 0.958669, 0.204536
451, 0.959476, 0.204989
452, 0.960275, 0.205443
453, 0.961066, 0.205896
454, 0.96185, 0.20635
455, 0.962625, 0.206803
456, 0.963393, 0.207257
457, 0.964153, 0.20771
458, 0.964905, 0.208164
459, 0.96565, 0.208617
460, 0.966386, 0.209071
461, 0.967115, 0.209524
462, 0.967836, 0.209978
463, 0.968549, 0.210431
464, 0.969254, 0.210885
465, 0.969951, 0.211338
466, 0.97064, 0.211792
467, 0.971322, 0.212245
468, 0.971995, 0.212699
469, 0.972661, 0.213153
470, 0.973319, 0.213606
471, 0.973969, 0.21406
472, 0.974611, 0.214513
473, 0.975245, 0.214967
474, 0.975871, 0.21542
475, 0.976489, 0.215874
476, 0.977099, 0.216327
477, 0.977702, 0.216781
478, 0.978296, 0.217234
479, 0.978883, 0.217688
480, 0.979461, 0.218141
481, 0.980032, 0.218595
482, 0.980594, 0.219048
483, 0.981149, 0.219502
484, 0.981696, 0.219955
485, 0.982235, 0.220409
486, 0.982765, 0.220862
487, 0.983288, 0.221316
488, 0.983803, 0.221769
489, 0.98431, 0.222223
490, 0.984808, 0.222676
491, 0.985299, 0.22313
492, 0.985782, 0.223583
493, 0.986257, 0.224037
494, 0.986724, 0.22449
495, 0.987182, 0.224944
496, 0.987633, 0.225397
497, 0.988076, 0.225851
498, 0.988511, 0.226305
499, 0.988937, 0.226758
500, 0.989356, 0.227212
501, 0.989767, 0.227665
502, 0.990169, 0.228119
503, 0.990564, 0.228572
504, 0.99095, 0.229026
505, 0.991329, 0.229479
506, 0.991699, 0.229933
507, 0.992062, 0.230386
508, 0.992416, 0.23084
509, 0.992762, 0.231293
510, 0.9931, 0.231747
511, 0.99343, 0.2322
512, 0.993753, 0.232654
513, 0.994066, 0.233107
514, 0.994372, 0.233561
515, 0.99467, 0.234014
516, 0.99496, 0.234468
517, 0.995242, 0.234921
518, 0.995515, 0.235375
519, 0.995781, 0.235828
520, 0.996038, 0.236282
521, 0.996288, 0.236735
522, 0.996529, 0.237189
523, 0.996762, 0.237642
524, 0.996987, 0.238096
525, 0.997204, 0.238549
526, 0.997413, 0.239003
527, 0.997614, 0.239457
528, 0.997806, 0.23991
529, 0.997991, 0.240364
530, 0.998168, 0.240817
531, 0.998336, 0.241271
532, 0.998496, 0.241724
533, 0.998648, 0.242178
534, 0.998792, 0.242631
535, 0.998928, 0.243085
536, 0.999056, 0.243538
537, 0.999176, 0.243992
538, 0.999287, 0.244445
539, 0.999391, 0.244899
540, 0.999486, 0.245352
541, 0.999574, 0.245806
542, 0.999653, 0.246259
543, 0.999724, 0.246713
544, 0.999787, 0.247166
545, 0.999842, 0.24762
546, 0.999888, 0.248073
547, 0.999927, 0.248527
548, 0.999957, 0.24898
549, 0.999979, 0.249434
550, 0.999994, 0.249887
551, 1, 0.250341
552, 0.999998, 0.250794
553, 0.999988, 0.251248
554, 0.999969, 0.251701
555, 0.999943, 0.252155
556, 0.999908, 0.252608
557, 0.999866, 0.253062
558, 0.999815, 0.253515
559, 0.999756, 0.253969
560, 0.999689, 0.254422
561, 0.999614, 0.254876
562, 0.999531, 0.255329
563, 0.999439, 0.255783
564, 0.99934, 0.256236
565, 0.999232, 0.25669
566, 0.999117, 0.257143
567, 0.998993, 0.257597
568, 0.998861, 0.25805
569, 0.998721, 0.258504
570, 0.998573, 0.258957
571, 0.998417, 0.259411
572, 0.998252, 0.259864
573, 0.99808, 0.260318
574, 0.997899, 0.260771
575, 0.997711, 0.261225
576, 0.997514, 0.261678
577, 0.997309, 0.262132
578, 0.997096, 0.262585
579, 0.996875, 0.263039
580, 0.996646, 0.263492
581, 0.996409, 0.263946
582, 0.996163, 0.264399
583, 0.99591, 0.264853
584, 0.995649, 0.265306
585, 0.995379, 0.26576
586, 0.995101, 0.266213
587, 0.994816, 0.266667
588, 0.994522, 0.26712
589, 0.99422, 0.267574
590, 0.99391, 0.268027
