Time,Sample,Phase
31029, 0.438711, 0.0727359
31029, 1, 0.0727359
31030, 0.44127, 0.0731894
31030, 1, 0.0731894
31031, 0.443825, 0.0736429
31031, 1, 0.0736429
31032, 0.446377, 0.0740964
31032, 1, 0.0740964
31033, 0.448925, 0.0745499
31033, 1, 0.0745499
31034, 0.451469, 0.0750035
31034, 1, 0.0750035
31035, 0.45401, 0.075457
31035, 1, 0.075457
31036, 0.456547, 0.0759105
31036, 1, 0.0759105
31037, 0.45908, 0.076364
31037, 1, 0.076364
31038, 0.46161, 0.0768175
31038, 1, 0.0768175
31039, 0.464136, 0.077271
31039, 1, 0.077271
31040, 0.466658, 0.0777246
31040, 1, 0.0777246
31041, 0.469176, 0.0781781
31041, 1, 0.0781781
31042, 0.471691, 0.0786316
31042, 1, 0.0786316
31043, 0.474202, 0.0790851
31043, 1, 0.0790851
31044, 0.476708, 0.0795386
31044, 1, 0.0795386
31045, 0.479211, 0.0799921
31045, 1, 0.0799921
31046, 0.48171, 0.0804457
31046, 1, 0.0804457
31047, 0.484206, 0.0808992
31047, 1, 0.0808992
31048, 0.486697, 0.0813527
31048, 1, 0.0813527
31049, 0.489184, 0.0818062
31049, 1, 0.0818062
31050, 0.491667, 0.0822597
31050, 1, 0.0822597
31051, 0.494147, 0.0827132
31051, 1, 0.0827132
31052, 0.496622, 0.0831668
31052, 1, 0.0831668
31053, 0.499093, 0.0836203
31053, 1, 0.0836203
31054, 0.501561, 0.0840738
31054, 1, 0.0840738
31055, 0.504024, 0.0845273
31055, 1, 0.0845273
31056, 0.506483, 0.0849808
31056, 1, 0.0849808
31057, 0.508938, 0.0854343
31057, 1, 0.0854343
31058, 0.511389, 0.0858879
31058, 1, 0.0858879
31059, 0.513835, 0.0863414
31059, 1, 0.0863414
31060, 0.516278, 0.0867949
31060, 1, 0.0867949
31061, 0.518716, 0.0872484
31061, 1, 0.0872484
31062, 0.52115, 0.0877019
31062, 1, 0.0877019
31063, 0.52358, 0.0881554
31063, 1, 0.0881554
31064, 0.526006, 0.088609
31064, 1, 0.088609
31065, 0.528427, 0.0890625
31065, 1, 0.0890625
31066, 0.530844, 0.089516
31066, 1, 0.089516
